ID;PAROLA;MacroCategoria;Categoria;Necessita;Frequenza;Stagionalita;Fonte;Peso
366;ARIDA CAFFE;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;77
367;CAFFETTERIA;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;75
368;FAUST SATYRUS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;70
369;FRAGISKOS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;72
370;IDEA KAFE;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;77
371;KATSANIS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;73
372;LA BOTTEGA DEL CAFFE';Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;78
373;MOYSTAKIS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;75
374;MY COFFEE;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;78
375;OPEC;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;70
376;RELAX;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;77
377;SKOULATOS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;75
378;STARBUCKS;Alimentari e Ristorazione;Bar e Caffe;Voluttuario;Occasionale;Estera;Migrazione;95
379;A BRASILEIRA;Alimentari e Ristorazione;Bar e Caffe;Voluttuario;Occasionale;Estiva;Migrazione;70
384;AMI POKE';Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
385;AMOR DI GUSTO;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78
386;ARGU;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
387;BISTROT;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82
388;BOLOGNA FOOD GALLERY;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
389;CR ITALY;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
390;FARIN KITCHEN;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
391;FATIFER;Alimentari e Ristorazione;Gastronomia;Utile;Occasionale;Tutto l'anno;Migrazione;75
392;POLLERIA;Alimentari e Ristorazione;Gastronomia;Utile;Occasionale;Tutto l'anno;Migrazione;75
393;GELARMONY;Alimentari e Ristorazione;Gastronomia;Utile;Occasionale;Tutto l'anno;Migrazione;80
394;I NOBILI GELATERIA;Alimentari e Ristorazione;Gastronomia;Utile;Occasionale;Estiva;Migrazione;81
395;SCAGORA GOURMET;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Estera;Migrazione;78
402;MENSA POLO;Alimentari e Ristorazione;Mensa;Essenziale;Occasionale;Tutto l'anno;Migrazione;90
403;MENSA POLO TUSCOLANO;Alimentari e Ristorazione;Mensa;Essenziale;Occasionale;Tutto l'anno;Migrazione;85
404;IL TIGELLINO;Alimentari e Ristorazione;Panetteria e Dolci;Utile;Occasionale;Tutto l'anno;Migrazione;75
405;LA FAMILLE;Alimentari e Ristorazione;Panetteria e Dolci;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
406;LE PALME;Alimentari e Ristorazione;Panetteria e Dolci;Essenziale;Occasionale;Tutto l'anno;Migrazione;75
407;PAUL1;Alimentari e Ristorazione;Panetteria e Dolci;Voluttuario;Occasionale;Tutto l'anno;Migrazione;73
408;PAUSE SANDWICH;Alimentari e Ristorazione;Street Food;Voluttuario;Occasionale;Viaggio/Estera;Migrazione;80
409;CARRINHO CONFEITARIA;Alimentari e Ristorazione;Panetteria e Dolci;Essenziale;Occasionale;Estiva;Migrazione;70
410;CORNETTOLANDIA;Alimentari e Ristorazione;Panetteria e Dolci;Utile;Occasionale;Tutto l'anno;Migrazione;80
411;LA PROMENADE;Alimentari e Ristorazione;Panetteria e Dolci;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
412;OBERLAA KONDITOREI;Alimentari e Ristorazione;Panetteria e Dolci;Voluttuario;Occasionale;Viaggio/Estera;Migrazione;88
413;PASTEIS DE BELEM;Alimentari e Ristorazione;Panetteria e Dolci;Voluttuario;Occasionale;Tutto l'anno;Migrazione;90
415;ANGELO PEZZELLA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;90
416;PAPA POSTO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
417;RAMEN TON BOL;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;80
418;BAR;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;60
419;BELLOTA-BELLOTA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
420;BLANCO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
421;BUDDHA SMILE;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;88
422;BURGER KING;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;95
423;CAMAL;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
424;CHALET LA DELIZIA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estiva;Migrazione;75
425;CIBIVACCO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70
426;Country Club di Gu Calcata;Alimentari e Ristorazione;Ristorazione;Utile;Occasionale;Tutto l'anno;Migrazione;100
427;DA AGNESE;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82
428;DA GIGI;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
429;DA NOI;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;83
430;DA PAOLO ALLA CAPANNIN;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
431;DELIVEROO;Alimentari e Ristorazione;Ristorazione;;;Migrazione;90;
432;DONNA CIRA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82
433;GLOVO;Alimentari e Ristorazione;Ristorazione;;;Migrazione;90;
434;GUSTAMI DI IOVANE MARC;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Invernale;Migrazione;90
435;HELLO SAILOR;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70
436;IZUMA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
437;KALAPA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78
438;KELSEN IM PARLAMENT;Alimentari e Ristorazione;Ristorazione;Culturale;Occasionale;Estera;Migrazione;75
439;KIYOMI;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
440;KOLETSA MARIA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estiva;Migrazione;70
441;KRAM;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70
442;LA LAMPARA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
443;LA PASTERIA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estiva;Migrazione;75
444;LA PIAZZA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;77
445;LA SOLITA ZUPPA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
446;LI VOLSI;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
447;MARIA JESUS PINHEIRO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;70
448;MCDONALD;Alimentari e Ristorazione;Ristorazione;;;Migrazione;95;
449;MESSICO E NUVOLE;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
450;MON AMI';Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
451;MYCHEF;Alimentari e Ristorazione;Ristorazione;Utile;Occasionale;Viaggio;Migrazione;80
452;OPIA SRL;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;100
453;OSTERIA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;95
454;PEGAL A GOSTO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;75
455;PEPPE O RUSSO;Alimentari e Ristorazione;Ristorazione;Essenziale;Occasionale;Tutto l'anno;Migrazione;75
456;PIZZERIA;Alimentari e Ristorazione;Ristorazione;;;Migrazione;92;
457;QUINTO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
458;RISTORANTE;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;97
459;SDP MAGLIANO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70
460;SEVEN;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70
461;SUSHI GOOD;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
462;TABACCHERIA FILIU';Alimentari e Ristorazione;Ristorazione;Utile;Occasionale;Tutto l'anno;Migrazione;70
463;TABERNA DA BAIXA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;75
464;TAVERNA;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;90
465;THE BASE;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
466;UBER EATS;Alimentari e Ristorazione;Ristorazione;;;Migrazione;90;
467;VAPIANO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Estera;Migrazione;88
487;KONTOS SOUVLAKI;Alimentari e Ristorazione;Street Food;Voluttuario;Occasionale;Estiva;Migrazione;78
488;BI BIM BAP;Alimentari e Ristorazione;Street Food;Voluttuario;Occasionale;Tutto l'anno;Migrazione;73
489;EMPANADAS MBQ;Alimentari e Ristorazione;Street Food;Voluttuario;Occasionale;Estiva;Migrazione;75
490;HAPPY FOOD;Alimentari e Ristorazione;Street Food;Voluttuario;Occasionale;Tutto l'anno;Migrazione;70
491;TREDICINE DINO;Alimentari e Ristorazione;Street Food;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82
492;ZUM GOLDENEN WUERSTL;Alimentari e Ristorazione;Street Food;Voluttuario;Occasionale;Viaggio/Estera;Migrazione;85
504;YO FUSION;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78
587;BARRIOLATINO;Alimentari e Ristorazione;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
505;AUTOGRILL;Auto e Trasporti;Servizi Auto;Voluttuario;Occasionale;Viaggio;Migrazione;82
506;AGIP;Auto e Trasporti;Carburante;;;Manuale;100;
507;BENZINA;Auto e Trasporti;Carburante;;;Manuale;100;
508;EASY SERVICE;Auto e Trasporti;Carburante;Essenziale;Ricorrente;Tutto l'anno;Manuale;90
509;ENERPETROLI;Auto e Trasporti;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85
510;ENI;Auto e Trasporti;Carburante;Essenziale;Ricorrente;Tutto l'anno;Manuale;100
511;FIAMMA;Auto e Trasporti;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85
512;IP;Auto e Trasporti;Carburante;Essenziale;Ricorrente;Tutto l'anno;Migrazione;85
513;MY OILVIA;Auto e Trasporti;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85
514;Q8;Auto e Trasporti;Carburante;Essenziale;Ricorrente;Tutto l'anno;Manuale;100
515;SHELL;Auto e Trasporti;Carburante;;;Manuale;100;
516;TAMOIL;Auto e Trasporti;Carburante;Essenziale;Occasionale;Tutto l'anno;Migrazione;85
517;C.M. MOTORI;Auto e Trasporti;Servizi Auto;Utile;Occasionale;Tutto l'anno;Migrazione;85
518;CAR SHOP;Auto e Trasporti;Servizi Auto;Utile;Occasionale;Tutto l'anno;Migrazione;72
519;PARCHEGGIO;Auto e Trasporti;Parcheggio;Utile;Occasionale;Tutto l'anno;Migrazione;80
520;PARK AND FLY;Auto e Trasporti;Parcheggio;Neutrale;Occasionale;Viaggio;Migrazione;80
521;SOSTA;Auto e Trasporti;Parcheggio;;;Migrazione;70;
522;ASPIT NOLA;Auto e Trasporti;Pedaggi;Essenziale;Occasionale;Tutto l'anno;Migrazione;80
523;TELEPASS;Auto e Trasporti;Pedaggi;Utile;Fissa;Tutto l'anno;Migrazione;95
661;STAZIONE MOLE;Auto e Trasporti;Trasporti;Utile;Occasionale;Tutto l'anno;Migrazione;70
662;BOOKING;Auto e Trasporti;Trasporti;;;Migrazione;85;
663;ITALO;Auto e Trasporti;Trasporti;;;Migrazione;95;
664;RYANAIR;Auto e Trasporti;Trasporti;;;Migrazione;90;
665;TRENITALIA;Auto e Trasporti;Trasporti;;;Migrazione;95;
666;OEBB TICKET;Auto e Trasporti;Trasporti;Utile;Occasionale;Viaggio;Migrazione;80
703;BLUE STAR;Auto e Trasporti;Trasporti;Utile;Occasionale;Viaggio;Migrazione;82
704;STAZIONE TTP;Auto e Trasporti;Trasporti;Utile;Occasionale;Tutto l'anno;Migrazione;80
524;45575 NOLA;Banca e Finanze;Bancomat;Utile;Occasionale;Tutto l'anno;Migrazione;70
525;PV5587;Banca e Finanze;Bancomat;Utile;Occasionale;Tutto l'anno;Migrazione;70
526;PV7264;Banca e Finanze;Bancomat;Utile;Occasionale;Tutto l'anno;Migrazione;70
527;CREDITO COOPERATIVO;Banca e Finanze;Servizi;Neutrale;Fissa;Tutto l'anno;Migrazione;90
528;AUTOMOBILE;Banca e Finanze;Commissioni;Utile;Annuale;Tutto l'anno;Migrazione;90
529;BANCOMAT ESTERO;Banca e Finanze;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;90
530;COMMISSIONI;Banca e Finanze;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;80
531;IMPOSTA;Banca e Finanze;Commissioni;Neutrale;Annuale;Tutto l'anno;Migrazione;85
532;Imposte e Tasse;Banca e Finanze;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;85
533;PRELIEVO;Banca e Finanze;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;75
534;SEPA;Banca e Finanze;Commissioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;80
535;INTERESSI;Banca e Finanze;Servizi;Neutrale;Annuale;Tutto l'anno;Migrazione;85
536;ATM;Banca e Finanze;Operazioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;85
537;FALIRAKI;Banca e Finanze;Operazioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;80
538;FIUMICINO;Banca e Finanze;Operazioni;Voluttuario;Occasionale;Estiva;Migrazione;80
539;NAPOLI;Banca e Finanze;Operazioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;80
540;PRELEVAMENTO;Banca e Finanze;Operazioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;85
541;VERSAMENTO;Banca e Finanze;Operazioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;80
542;STORNO;Banca e Finanze;Servizi;Neutrale;Occasionale;Tutto l'anno;Migrazione;85
575;BONIFICO;Banca e Finanze;Operazioni;Neutrale;Occasionale;Tutto l'anno;Migrazione;70
399;LAVANDERIA DM;Casa e Servizi;Servizi Casa;Utile;Occasionale;Tutto l'anno;Migrazione;75
543;CASALANDIA;Casa e Servizi;Arredamento;Utile;Occasionale;Tutto l'anno;Migrazione;75
544;ZERO FASHION;Casa e Servizi;Arredamento;Utile;Occasionale;Tutto l'anno;Migrazione;80
545;ASSICURAZIONE;Casa e Servizi;Assicurazioni;Essenziale;Annuale;Tutto l'anno;Migrazione;90
546;BARCA;Casa e Servizi;Assicurazioni;Essenziale;Ricorrente;Tutto l'anno;Migrazione;92
547;CHARTER;Casa e Servizi;Assicurazioni;Essenziale;Annuale;Estiva;Migrazione;92
548;QUOTA ASSICURAZIONE;Casa e Servizi;Assicurazioni;Essenziale;Annuale;Tutto l'anno;Migrazione;90
549;EDILBRIKO;Casa e Servizi;Bricolage;Utile;Occasionale;Tutto l'anno;Migrazione;72
550;CAPSULE E CIALDE;Casa e Servizi;Altro;Utile;Occasionale;Tutto l'anno;Migrazione;80
551;ACCONTO;Casa e Servizi;Condominio;Essenziale;Occasionale;Tutto l'anno;Migrazione;85
552;MEDIAZIONE;Casa e Servizi;Condominio;Essenziale;Annuale;Tutto l'anno;Migrazione;90
553;QUOTE;Casa e Servizi;Condominio;Essenziale;Annuale;Tutto l'anno;Migrazione;90
554;RATA;Casa e Servizi;Condominio;Essenziale;Ricorrente;Tutto l'anno;Migrazione;92
